Iteration	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	simmap
0	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,1.43798:0,1.9865}	{0,9.8346}	{1,31.0431}	{1,31.0431}	{1,26.1305:0,8.84979}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,42.6208}	{0,0}	((Acanthisitta_chloris:{1,31.0431},Xenicus_gilviventris:{1,31.0431}):{1,26.1305:0,8.84979},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,1.43798:0,1.9865},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,42.6208});
10	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,2.43697:0,0.987507}	{0,9.8346}	{1,31.0431}	{1,31.0431}	{1,31.5066:0,3.47373}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,42.6208}	{0,0}	((Acanthisitta_chloris:{1,31.0431},Xenicus_gilviventris:{1,31.0431}):{1,31.5066:0,3.47373},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,2.43697:0,0.987507},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,42.6208});
20	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,1.74139:0,1.68308}	{0,9.8346}	{1,7.10131:0,23.9418}	{1,5.29689:0,25.7462}	{0,34.9803}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,42.6208}	{0,0}	((Acanthisitta_chloris:{1,5.29689:0,25.7462},Xenicus_gilviventris:{1,7.10131:0,23.9418}):{0,34.9803},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,1.74139:0,1.68308},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,42.6208});
30	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,0.708941:0,2.71554}	{0,9.8346}	{1,31.0431}	{1,31.0431}	{1,1.18352:0,33.7968}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,42.6208}	{0,0}	((Acanthisitta_chloris:{1,31.0431},Xenicus_gilviventris:{1,31.0431}):{1,1.18352:0,33.7968},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,0.708941:0,2.71554},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,42.6208});
40	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,1.97439:0,1.45009}	{0,9.8346}	{1,31.0431}	{1,31.0431}	{1,26.5934:0,8.38693}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,42.6208}	{0,0}	((Acanthisitta_chloris:{1,31.0431},Xenicus_gilviventris:{1,31.0431}):{1,26.5934:0,8.38693},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,1.97439:0,1.45009},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,42.6208});
50	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,0.818052:0,2.60642}	{0,9.8346}	{1,31.0431}	{1,31.0431}	{1,32.6038:0,2.37649}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,42.6208}	{0,0}	((Acanthisitta_chloris:{1,31.0431},Xenicus_gilviventris:{1,31.0431}):{1,32.6038:0,2.37649},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,0.818052:0,2.60642},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,42.6208});
60	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,1.06058:0,2.3639}	{0,9.8346}	{1,31.0431}	{1,31.0431}	{1,30.7744:0,4.20592}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,42.6208}	{0,0}	((Acanthisitta_chloris:{1,31.0431},Xenicus_gilviventris:{1,31.0431}):{1,30.7744:0,4.20592},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,1.06058:0,2.3639},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,42.6208});
70	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,2.07572:0,1.34876}	{0,9.8346}	{1,31.0431}	{1,31.0431}	{1,21.9714:0,13.0089}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,42.6208}	{0,0}	((Acanthisitta_chloris:{1,31.0431},Xenicus_gilviventris:{1,31.0431}):{1,21.9714:0,13.0089},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,2.07572:0,1.34876},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,42.6208});
80	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,2.90161:0,0.522867}	{0,9.8346}	{1,31.0431}	{1,31.0431}	{1,9.69185:0,25.2885}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,42.6208}	{0,0}	((Acanthisitta_chloris:{1,31.0431},Xenicus_gilviventris:{1,31.0431}):{1,9.69185:0,25.2885},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,2.90161:0,0.522867},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,42.6208});
90	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,1.56564:0,1.85884}	{0,9.8346}	{1,31.0431}	{1,31.0431}	{1,34.9803}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,27.0516:1,15.5692}	{1,0}	((Acanthisitta_chloris:{1,31.0431},Xenicus_gilviventris:{1,31.0431}):{1,34.9803},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,1.56564:0,1.85884},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,27.0516:1,15.5692});
100	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,3.36802:0,0.0564601}	{0,9.8346}	{1,31.0431}	{1,31.0431}	{1,6.46289:0,28.5174}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,42.6208}	{0,0}	((Acanthisitta_chloris:{1,31.0431},Xenicus_gilviventris:{1,31.0431}):{1,6.46289:0,28.5174},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,3.36802:0,0.0564601},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,42.6208});
110	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,3.09795:0,0.326529}	{0,9.8346}	{1,31.0431}	{1,31.0431}	{1,34.9803}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,41.8025:1,0.818313}	{1,0}	((Acanthisitta_chloris:{1,31.0431},Xenicus_gilviventris:{1,31.0431}):{1,34.9803},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,3.09795:0,0.326529},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,41.8025:1,0.818313});
120	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,3.41434:0,0.0101403}	{0,9.8346}	{1,31.0431}	{1,31.0431}	{1,31.397:0,3.58336}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,42.6208}	{0,0}	((Acanthisitta_chloris:{1,31.0431},Xenicus_gilviventris:{1,31.0431}):{1,31.397:0,3.58336},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,3.41434:0,0.0101403},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,42.6208});
130	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,0.607657:0,2.81682}	{0,9.8346}	{1,31.0431}	{1,31.0431}	{1,29.8869:0,5.09344}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,42.6208}	{0,0}	((Acanthisitta_chloris:{1,31.0431},Xenicus_gilviventris:{1,31.0431}):{1,29.8869:0,5.09344},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,0.607657:0,2.81682},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,42.6208});
140	{0,20.3159}	{0,9.42077}	{0,9.42077}	{0,7.70514}	{0,7.70514}	{0,16.5037}	{0,0.593725}	{0,0.593725}	{0,8.17854}	{0,8.7963}	{0,10.8526}	{0,5.56068}	{0,4.65845}	{0,4.65845}	{0,3.42448}	{1,1.03233:0,2.39215}	{0,9.8346}	{1,31.0431}	{1,31.0431}	{1,34.9803}	{0,2.27825}	{0,0.902235}	{0,0.142042}	{0,4.13188}	{0,1.01801}	{0,2.42214}	{0,7.58481}	{0,0.617762}	{0,4.47845}	{0,3.22894}	{0,6.89888}	{0,8.26055}	{0,6.54492}	{0,4.35025}	{0,3.08664}	{0,12.372:1,30.2488}	{1,0}	((Acanthisitta_chloris:{1,31.0431},Xenicus_gilviventris:{1,31.0431}):{1,34.9803},(((((Pitta_caerulea:{0,9.8346},((Pitta_guajana:{1,1.03233:0,2.39215},Pitta_baudii:{0,3.42448}):{0,2.27825},((Pitta_elliotii:{0,4.65845},Pitta_gurneyi:{0,4.65845}):{0,0.902235},Pitta_cyanea:{0,5.56068}):{0,0.142042}):{0,4.13188}):{0,1.01801},Pitta_ussheri:{0,10.8526}):{0,2.42214},(Pitta_oatesi:{0,8.7963},(Pitta_schneideri:{0,8.17854},(Pitta_soror:{0,0.593725},Pitta_nipalensis:{0,0.593725}):{0,7.58481}):{0,0.617762}):{0,4.47845}):{0,3.22894},Pitta_phayrei:{0,16.5037}):{0,6.89888},(((Pitta_erythrogaster:{0,7.70514},Pitta_kochi:{0,7.70514}):{0,8.26055},(Pitta_venusta:{0,9.42077},Pitta_arcuata:{0,9.42077}):{0,6.54492}):{0,4.35025},Pitta_megarhyncha:{0,20.3159}):{0,3.08664}):{0,12.372:1,30.2488});
